"HDFC","ICICI"
"1,155.68","394.1"
"1,140.65","383.5"
"1,138.07","391.8"
"1,149.50","392.9"
"1,133.88","398.4"
"1,130.72","398.05"
"1,126.50","395.3"
"1,112.38","387.9"
"1,113.28","391.9"
"1,085.50","388.2"
"1,064.22","375.85"
"1,064.10","370.6"
"1,063.25","370.8"
"1,052.13","371.95"
